ticker,avg_ticks_per_day,daily_mean,daily_std,ann_mean_pct,ann_std_pct,min_1m,max_1m,total_return_pct,kurtosis_1m,skewness_1m,n_obs_daily
XRP,1436.4,-0.1149,3.9095,-41.93,74.69,-7.2148,11.9895,-83.63,404.82,2.293,396
BTC,1436.4,-0.0512,2.152,-18.69,41.11,-1.7868,1.6542,-43.13,23.92,0.245,396
ETH,1436.4,-0.0142,3.6113,-5.17,68.99,-2.2551,4.1439,-47.93,32.16,0.517,396
SOL,1436.4,-0.1438,3.9498,-52.5,75.46,-3.0052,5.0892,-105.14,31.84,0.27,396
DOGE,1436.4,-0.1941,4.3471,-70.83,83.05,-5.5742,6.7441,-128.98,4.05,0.025,396
AERGO,1436.4,-0.1246,9.1032,-45.47,173.92,-14.3616,13.8494,-71.49,89.57,-0.338,396
ADA,1436.4,-0.2356,4.976,-86.0,95.07,-5.0982,6.5282,-136.77,44.85,0.589,396
AUCTION,1436.4,-0.2867,6.915,-104.65,132.11,-9.9976,10.2415,-102.39,112.94,-0.305,396
ONDO,1436.4,-0.3246,4.3713,-118.48,83.51,-6.4287,6.9381,-172.92,36.05,0.408,396
SUI,1436.4,-0.2926,4.8464,-106.79,92.59,-4.8815,9.4904,-156.37,75.29,0.787,396
VIRTUAL,1436.4,-0.1303,7.3982,-47.58,141.34,-6.7627,12.5171,-112.8,45.69,0.441,396
ARDR,1436.4,-0.1109,5.975,-40.49,114.15,-8.8115,9.8735,-66.79,69.76,0.473,396
MOVE,1436.4,-0.8053,5.6579,-293.92,108.09,-11.1704,8.377,-376.64,42.32,-0.09,396
AWE,1436.4,-0.2164,5.4801,-79.0,104.7,-7.0334,13.8583,-44.21,52.75,0.567,396
XLM,1436.4,-0.1323,3.7457,-48.3,71.56,-4.5275,6.2261,-93.01,9.69,0.145,396
AXS,1436.4,-0.3016,5.7584,-110.09,110.01,-9.0151,6.8695,-159.55,85.99,0.033,396
SNT,1436.4,-0.2498,5.2923,-91.19,101.11,-5.9317,15.8735,-152.03,96.35,1.205,396
QTUM,1436.4,-0.2502,3.9636,-91.33,75.72,-5.3229,6.4992,-134.73,88.5,0.78,396
ANIME,1436.4,-0.4305,6.0734,-157.14,116.03,-17.8819,13.1028,-229.8,92.13,-0.383,396
PUNDIX,1436.4,-0.2211,4.7638,-80.69,91.01,-15.5677,15.9557,-111.8,281.73,0.289,396
ARK,1436.4,-0.2242,4.3911,-81.85,83.89,-8.6721,7.9083,-114.92,90.97,0.157,396
ENS,1436.4,-0.3336,4.3216,-121.75,82.56,-9.1238,9.1893,-180.85,129.8,-0.094,396
LINK,1436.4,-0.1284,4.188,-46.86,80.01,-4.5925,6.5058,-107.27,32.31,0.311,396
CRO,1436.4,-0.0035,4.4709,-1.28,85.42,-8.04,15.1238,-62.05,64.53,0.732,396
HBAR,1436.4,-0.2235,4.2467,-81.58,81.13,-5.7432,4.581,-128.24,7.63,0.019,396
VANA,1436.4,-0.4944,5.1761,-180.45,98.89,-13.7874,40.669,-201.12,3618.45,15.876,396
SEI,1436.4,-0.399,4.6771,-145.64,89.35,-7.9533,9.309,-189.51,14.47,0.01,396
STRAX,1436.4,-0.3276,4.886,-119.59,93.35,-11.5716,11.8464,-168.33,82.82,0.163,396
KNC,1436.4,-0.2544,5.2522,-92.85,100.34,-7.3786,9.798,-129.02,169.8,1.436,396
ME,1436.4,-0.6604,4.7965,-241.06,91.64,-10.9965,6.237,-298.56,63.05,-0.308,396
SHIB,1436.4,-0.2085,3.536,-76.1,67.56,-3.7504,4.3675,-116.38,3.21,0.007,396
CBK,1436.4,-0.2293,4.4815,-83.7,85.62,-12.7808,11.7769,-125.35,106.19,0.299,396
AQT,1436.4,-0.2512,4.3625,-91.7,83.35,-8.2301,6.0184,-120.62,61.36,-0.241,396
SAFE,1436.4,-0.4281,4.9347,-156.24,94.28,-17.7599,24.1426,-214.01,789.49,4.687,396
GLM,1436.4,-0.2533,3.8637,-92.47,73.82,-9.7299,9.3656,-95.33,106.92,-0.437,396
PEPE,1436.4,-0.2105,5.596,-76.82,106.91,-9.441,7.5022,-142.35,12.78,0.002,396
BONK,1436.4,-0.2093,6.1867,-76.4,118.2,-14.9113,12.2796,-146.34,46.66,-0.067,396
WAVES,1436.4,-0.3206,3.6411,-117.03,69.56,-8.4055,10.0266,-135.81,114.09,1.02,396
MASK,1436.4,-0.421,5.1539,-153.66,98.47,-10.2243,17.413,-172.65,498.48,2.182,396
ATH,1436.4,-0.439,5.8837,-160.23,112.41,-9.7309,14.2728,-208.76,74.34,0.612,396
TOKAMAK,1436.4,-0.2381,3.6913,-86.92,70.52,-8.5695,9.7486,-126.96,86.65,0.444,396
CARV,1436.4,-0.5304,4.727,-193.59,90.31,-20.1669,11.6637,-243.09,165.68,-0.384,396
MEW,1436.4,-0.3759,5.5104,-137.19,105.28,-8.0761,6.4266,-207.46,26.72,0.028,396
MNT,1436.4,-0.0043,4.7755,-1.58,91.24,-7.6502,8.108,-59.25,69.9,-0.119,396
PYTH,1436.4,-0.4203,6.2767,-153.4,119.92,-11.3835,11.5999,-200.54,58.36,0.241,396
SONIC,1436.4,-0.5112,5.0786,-186.6,97.03,-10.2516,9.2365,-249.29,68.11,0.032,396
GAS,1436.4,-0.1887,4.2178,-68.89,80.58,-6.0851,7.6696,-111.38,114.07,0.657,396
AKT,1436.4,-0.2949,5.4968,-107.63,105.02,-9.0033,17.7681,-167.75,221.38,2.397,396
BIGTIME,1436.4,-0.4353,4.9081,-158.88,93.77,-13.9762,12.8286,-203.18,163.5,0.342,396
DRIFT,1436.4,-0.5795,5.8219,-211.51,111.23,-18.8518,18.5028,-260.45,185.27,-0.223,396
